"filename", "language", "Batch", "PHP", "CSS", "Python", "comment", "blank", "total"
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\mein_wochenplan.php", "PHP", 0, 199, 0, 0, 0, 21, 220
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\passwort_vergessen.php", "PHP", 0, 49, 0, 0, 2, 8, 59
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\passwort_zuruecksetzen.php", "PHP", 0, 49, 0, 0, 7, 7, 63
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\profile.php", "PHP", 0, 99, 0, 0, 0, 19, 118
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\pruefe_like.php", "PHP", 0, 22, 0, 0, 6, 5, 33
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\register.php", "PHP", 0, 137, 0, 0, 8, 19, 164
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\saveMealPlan.php", "PHP", 0, 30, 0, 0, 8, 12, 50
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\send_message.php", "PHP", 0, 22, 0, 0, 2, 5, 29
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\session_handling.php", "PHP", 0, 12, 0, 0, 2, 7, 21
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichereBeitragDatenbank.php", "PHP", 0, 16, 0, 0, 5, 6, 27
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichere_beitrag.php", "PHP", 0, 17, 0, 0, 1, 7, 25
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichere_kommentare.php", "PHP", 0, 28, 0, 0, 5, 9, 42
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichere_like_beitrag.php", "PHP", 0, 27, 0, 0, 9, 7, 43
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\startseite.php", "PHP", 0, 503, 0, 0, 38, 129, 670
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\style.css", "CSS", 0, 0, 366, 0, 3, 57, 426
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\style_essenplan.css", "CSS", 0, 0, 60, 0, 0, 14, 74
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\update_status.php", "PHP", 0, 15, 0, 0, 0, 7, 22
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\upload.php", "PHP", 0, 103, 0, 0, 0, 17, 120
"Total", "-", 3, 3713, 612, 33, 216, 911, 5488
