"filename", "language", "PHP", "Python", "Batch", "comment", "blank", "total"
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\pruefe_like.php", "PHP", 22, 0, 0, 6, 5, 33
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\register.php", "PHP", 134, 0, 0, 7, 18, 159
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\saveMealPlan.php", "PHP", 29, 0, 0, 8, 11, 48
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\send_message.php", "PHP", 22, 0, 0, 2, 5, 29
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\session_handling.php", "PHP", 12, 0, 0, 2, 7, 21
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichereBeitragDatenbank.php", "PHP", 16, 0, 0, 5, 6, 27
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichere_beitrag.php", "PHP", 17, 0, 0, 1, 7, 25
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichere_kommentare.php", "PHP", 28, 0, 0, 5, 9, 42
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\speichere_like_beitrag.php", "PHP", 27, 0, 0, 9, 7, 43
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\startseite.php", "PHP", 342, 0, 0, 35, 98, 475
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\update_status.php", "PHP", 15, 0, 0, 0, 7, 22
"c:\xampp2\htdocs\Projekt FitBook\Web-Technologie-Projektarbeit - Kopie (2)\php_dateien\upload.php", "PHP", 103, 0, 0, 0, 17, 120
"Total", "-", 3057, 30, 3, 202, 749, 4041
